epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,418.236,1.17897,0.81324,1.22872,0.98847,0.98679,0.99495,0.70373,1.07581,0.5212,1.19783,0.0086734,0.0086734,0.0086734
69,425.114,1.17402,0.81251,1.23358,0.98445,0.97506,0.99285,0.67958,1.12688,0.53644,1.21704,0.0086536,0.0086536,0.0086536
70,430.316,1.17493,0.8335,1.21462,0.99134,0.9813,0.99145,0.68403,1.11961,0.53403,1.22531,0.0086338,0.0086338,0.0086338
71,435.787,1.15349,0.78945,1.20486,0.99208,0.99845,0.99473,0.70988,1.05925,0.52982,1.20809,0.008614,0.008614,0.008614
72,442.364,1.13353,0.77646,1.21394,0.97833,0.99563,0.99368,0.70311,1.06222,0.50861,1.20043,0.0085942,0.0085942,0.0085942
73,447.552,1.15008,0.77065,1.20058,0.97085,0.99591,0.99287,0.69012,1.10919,0.51626,1.23551,0.0085744,0.0085744,0.0085744
74,454.478,1.14038,0.78775,1.21496,0.98084,0.99828,0.99111,0.66333,1.12225,0.51265,1.19763,0.0085546,0.0085546,0.0085546
75,459.712,1.14574,0.78783,1.20737,0.95363,0.97315,0.98346,0.65139,1.22827,0.59778,1.2821,0.0085348,0.0085348,0.0085348
76,465.854,1.11838,0.77914,1.20985,0.99156,0.97168,0.99482,0.65349,1.22661,0.56776,1.27546,0.008515,0.008515,0.008515
77,472.046,1.15483,0.80208,1.242,0.98519,0.99742,0.99497,0.69997,1.06071,0.50484,1.18398,0.0084952,0.0084952,0.0084952
78,477.406,1.13465,0.75204,1.22173,0.9869,0.99351,0.9948,0.70676,1.04959,0.50721,1.18516,0.0084754,0.0084754,0.0084754
79,484.117,1.12416,0.76657,1.218,0.99062,0.99768,0.995,0.72297,1.01528,0.48525,1.16828,0.0084556,0.0084556,0.0084556
80,489.438,1.12596,0.78211,1.20156,0.9883,0.99573,0.995,0.71728,1.0208,0.49,1.1769,0.0084358,0.0084358,0.0084358
81,496.409,1.1243,0.74352,1.20431,0.93585,0.98329,0.98531,0.70741,1.00976,0.50857,1.16042,0.008416,0.008416,0.008416
82,501.559,1.14239,0.75067,1.19298,0.95129,0.98373,0.99333,0.70571,1.05163,0.50866,1.18827,0.0083962,0.0083962,0.0083962
83,507.987,1.10622,0.75241,1.19357,0.96344,0.98188,0.99241,0.70363,1.06275,0.50836,1.19978,0.0083764,0.0083764,0.0083764
84,513.642,1.13516,0.7587,1.21428,0.98506,0.99477,0.99451,0.6875,1.09561,0.51473,1.19994,0.0083566,0.0083566,0.0083566
85,518.852,1.12466,0.76418,1.20763,0.98854,0.99912,0.995,0.73094,0.98183,0.48296,1.14411,0.0083368,0.0083368,0.0083368
86,525.561,1.09306,0.71674,1.16564,0.97436,0.97837,0.99466,0.69318,1.10371,0.51967,1.21259,0.008317,0.008317,0.008317
87,530.738,1.10885,0.74233,1.20739,0.98865,0.99661,0.995,0.72562,1.02397,0.48455,1.16305,0.0082972,0.0082972,0.0082972
88,537.594,1.09298,0.72433,1.20949,0.98169,0.99832,0.99496,0.72213,0.98037,0.47289,1.1471,0.0082774,0.0082774,0.0082774
89,542.965,1.0934,0.73834,1.18394,0.94718,0.99021,0.99322,0.68496,1.10081,0.50163,1.2245,0.0082576,0.0082576,0.0082576
